# CarANC Session Log
# format=jsonl
# vehicle=skoda Octavia 2019
# scenario=行駛中
# phonePlacement=中控下方
# connectionType=usb androidauto
# ---
{"ts":1781739456137,"phase":"session_start","vehicleModel":"skoda Octavia 2019","scenario":"行駛中","phonePlacement":"中控下方","connectionType":"usb androidauto","deviceModel":"Pixel 10 Pro Fold","deviceManufacturer":"Google","androidRelease":"17","sdkInt":37,"productName":"CarANC","subscriptionPlan":"pro_monthly","subscriptionLabel":"專業版（月訂）","safetyConsentAccepted":true}
{"ts":1781739456137,"phase":"service_start","subscriptionPlan":"pro_monthly","mimoEnabled":true,"obdEnabled":true}
{"ts":1781739456185,"phase":"aa_connected","connectionType":2}
{"ts":1781739456647,"phase":"gps_start","hasLocationPermission":true,"fallback":"none"}
{"ts":1781739457206,"phase":"media_ref_unavailable","apiLevel":37,"sampleRate":48000}
{"ts":1781739457211,"phase":"obd_rpm_start","rpm":0.0,"valid":false,"source":"unconfigured","manualRpm":0.0,"plan":"pro_monthly"}
{"ts":1781739457212,"phase":"audio_init","sampleRate":48000,"bufferSize":1024,"halBufferBytes":13468,"halBufferSamples":6734,"readSize":64,"minRecordBuffer":3840,"minTrackBuffer":13468,"audioSource":"UNPROCESSED","tier":"PRO","routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","audioFocusGranted":true,"aaConnected":true,"acousticDelaySamples":0,"estimatedLatencyMs":316.9167,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.0,"latencyFrameworkMs":35.0}
{"ts":1781739458194,"phase":"calibration_skipped_loaded_profile","profileId":"skoda_octavia_2019","sampleRate":48000,"acousticDelaySamples":28,"resonancePeaksHz":[15000.0],"calibratedAtEpochMs":1781739177985,"sHat":[-1.0, -0.99813026, -0.97355276, -0.92638826, -0.8599599, -0.7802798, -0.6958427, -0.6168486, -0.55248374, -0.50729203, -0.47928742, -0.46222523, -0.4510697, -0.44677165, -0.4559696, -0.48538375, -0.53489435, -0.5948748, -0.6500301, -0.687255, -0.7016007, -0.6962315, -0.6770843, -0.64729625, -0.6059353, -0.5516068, -0.486879, -0.4191784, -0.35674435, -0.3031394, -0.2552812, -0.20736651, -0.15746771, -0.111278996, -0.07929013, -0.069143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}
{"ts":1781739458264,"phase":"mimo_profile_applied","mimoEnabled":true,"mimoTrialEnabled":true,"zoneCount":4,"zoneIds":["DRIVER", "PASSENGER_FRONT", "REAR_LEFT", "REAR_RIGHT"],"driverFocused":false}
{"ts":1781739458266,"phase":"latency_optimization_applied","estimatedLatencyMs":317.50003,"maxCancelFrequencyHz":35.0,"processingReadSize":64,"halBufferMultiplier":1,"lowLatencyBufferSamples":512,"lowLatencyMode":true,"features":["latency_aware_bands", "per_band_delay", "virtual_sensing", "engine_comb_ff", "road_wiener_ff", "multirate_low_band", "fdaf_low_band", "prelearned_bank"],"midBandEnabled":false,"highBandEnabled":false}
{"ts":1781739458445,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-76.838745,"cancelledDb":-76.838745,"reductionDb":0.0,"vehicleSpeedKmh":0.16128,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"Calibrating","estimatedLatencyMs":156.91667,"maxCancelFrequencyHz":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":60.0,"latencyTrackMs":60.0,"latencyBlockMs":1.3333334,"elapsedSec":1338,"suggestedObserveSec":0}
{"ts":1781739460282,"phase":"mu_adjusted","avgPower":2216.5893001916274,"mu":0.01}
{"ts":1781739460345,"phase":"learning_start","tier":"PRO","durationMs":1000}
{"ts":1781739461390,"phase":"learning_complete"}
{"ts":1781739461469,"phase":"running_start","acousticDelaySamples":28,"readSize":64,"estimatedLatencyMs":317.50003,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.5833334,"latencyFrameworkMs":35.0}
{"ts":1781739462214,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-66.4672,"cancelledDb":-66.4672,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"normal","acousticDelaySamples":28,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.34851262,"bandMidRatio":0.27409205,"bandHighRatio":0.37739536,"bandConfidence":0.028882742,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.16128,"speedValid":true,"speedAccuracyM":6.717,"speedSource":"last_known","noiseSource":"IDLE","estimatedLatencyMs":317.50003,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.5833334,"latencyFrameworkMs":35.0}
{"ts":1781739462221,"phase":"state_change","from":"Running","to":"MusicMode"}
{"ts":1781739462254,"phase":"bump_detected","blockRms":0.10695794,"frozen":true}
{"ts":1781739462256,"phase":"bump_detected","blockRms":0.09284219,"frozen":true}
{"ts":1781739462259,"phase":"bump_detected","blockRms":0.04258024,"frozen":true}
{"ts":1781739462340,"phase":"bump_detected","blockRms":0.011838383,"frozen":true}
{"ts":1781739462382,"phase":"bump_detected","blockRms":0.07821134,"frozen":true}
{"ts":1781739462383,"phase":"bump_detected","blockRms":0.044899493,"frozen":true}
{"ts":1781739462417,"phase":"bump_detected","blockRms":0.023674015,"frozen":true}
{"ts":1781739462419,"phase":"bump_detected","blockRms":0.088623986,"frozen":true}
{"ts":1781739462421,"phase":"bump_detected","blockRms":0.04478238,"frozen":true}
{"ts":1781739462493,"phase":"bump_detected","blockRms":0.025303012,"frozen":true}
{"ts":1781739462524,"phase":"bump_detected","blockRms":0.04117865,"frozen":true}
{"ts":1781739462569,"phase":"bump_detected","blockRms":0.043075003,"frozen":true}
{"ts":1781739462571,"phase":"bump_detected","blockRms":0.09338537,"frozen":true}
{"ts":1781739462575,"phase":"bump_detected","blockRms":0.074874185,"frozen":true}
{"ts":1781739462758,"phase":"bump_detected","blockRms":0.040467154,"frozen":true}
{"ts":1781739462786,"phase":"bump_detected","blockRms":0.0585836,"frozen":true}
{"ts":1781739462789,"phase":"bump_detected","blockRms":0.020283027,"frozen":true}
{"ts":1781739462800,"phase":"bump_detected","blockRms":0.051292438,"frozen":true}
{"ts":1781739462837,"phase":"bump_detected","blockRms":0.07198225,"frozen":true}
{"ts":1781739462839,"phase":"bump_detected","blockRms":0.060149457,"frozen":true}
{"ts":1781739463024,"phase":"bump_detected","blockRms":0.1195441,"frozen":true}
{"ts":1781739463036,"phase":"bump_detected","blockRms":0.108022414,"frozen":true}
{"ts":1781739463186,"phase":"bump_detected","blockRms":0.03330193,"frozen":true}
{"ts":1781739463190,"phase":"bump_detected","blockRms":0.0151303,"frozen":true}
{"ts":1781739463240,"phase":"bump_detected","blockRms":0.032071833,"frozen":true}
{"ts":1781739463244,"phase":"bump_detected","blockRms":0.034539327,"frozen":true}
{"ts":1781739463278,"phase":"bump_detected","blockRms":0.027743438,"frozen":true}
{"ts":1781739463282,"phase":"bump_detected","blockRms":0.061548714,"frozen":true}
{"ts":1781739463305,"phase":"bump_detected","blockRms":0.03338558,"frozen":true}
{"ts":1781739463308,"phase":"bump_detected","blockRms":0.09704755,"frozen":true}
{"ts":1781739463313,"phase":"bump_detected","blockRms":0.07163151,"frozen":true}
{"ts":1781739463381,"phase":"bump_detected","blockRms":0.028182667,"frozen":true}
{"ts":1781739463383,"phase":"bump_detected","blockRms":0.050218683,"frozen":true}
{"ts":1781739463411,"phase":"bump_detected","blockRms":0.071380846,"frozen":true}
{"ts":1781739463448,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-67.160126,"cancelledDb":-67.160126,"reductionDb":0.0,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":317.50003,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1343,"suggestedObserveSec":0}
{"ts":1781739463486,"phase":"bump_detected","blockRms":0.028990973,"frozen":true}
{"ts":1781739463490,"phase":"bump_detected","blockRms":0.102897204,"frozen":true}
{"ts":1781739463493,"phase":"bump_detected","blockRms":0.09246498,"frozen":true}
{"ts":1781739463548,"phase":"bump_detected","blockRms":0.048493728,"frozen":true}
{"ts":1781739463559,"phase":"bump_detected","blockRms":0.09136165,"frozen":true}
{"ts":1781739463563,"phase":"bump_detected","blockRms":0.080937006,"frozen":true}
{"ts":1781739463710,"phase":"bump_detected","blockRms":0.080741666,"frozen":true}
